scott	optimal-k	top95	bottom95	practical
0.9990782579720804	0.9996059328393571	0.9996134612354716	0.9995998593808727	1.0
0.9991646712871981	0.9996489239954803	0.9996560648865547	0.9996427423621639	1.0
0.9992429833540231	0.9996843031182647	0.9996901037464927	0.9996788307892487	1.0
0.9993139536645831	0.999716619178327	0.9997220191280478	0.9997118030105455	1.0
0.9993782705085291	0.9997474174633025	0.9997525338694713	0.9997429599313501	1.0
0.9994365576483549	0.9997732328012651	0.9997779819509421	0.9997693055695198	1.0
0.9994893803688212	0.9997962554676836	0.9998006521867645	0.9997927892161007	1.0
0.9995372509592443	0.9998166393950569	0.9998206914415911	0.9998135656244266	1.0
0.999580633681815	0.9998374372902429	0.9998408711372528	0.9998348415718445	1.0
0.9996199492741449	0.9998538807735213	0.9998570560252295	0.9998514054748997	1.0
